track,date,race_no,post_position,post_position,entry,entry,distance_in_yards,distance_in_yards,race_type,race_type,todays_trainer,todays_trainer,todays_jockey,todays_jockey,horse_name,horse_name,predicted_res_final_time,predicted_res_finish_position,predicted_res_beaten_lengths,predicted_res_odds
SA ,20241229, 6, 4,0,,0,1320,0,M,2,MULLINS JEFF,0,AGUILAR ARMANDO,0,AMERICAN RENEGADE,0,-1.0290466388678376,74,-0.4355981674170334,-2.7024528296039416
SA ,20241229, 6, 5,0,,0,1320,0,M,2,ELLIS RONALD W,0,ORANTES WELFIN R,0,GOING NOWHERE,27,-1.0667756243332969,64,0.18612877456557986,-2.297398809421324
SA ,20241229, 6, 6,0,,0,1320,0,M,2,KNAPP STEVE,0,HERNANDEZ JUAN J,0,LAST CALL PAUL,39,-0.7351389703034992,62,-2.4209823664663195,-4.171727187967247
SA ,20241229, 6, 7,0,,0,1320,0,M,2,PUYPE MIKE,0,AYUSO ARMANDO,0,PRATCHETT,54,-0.6106280870208267,8,-0.7774286449296023,-4.05834909380682
SA ,20241229, 6, 8,0,,0,1320,0,M,2,HESS R B JR,0,RISPOLI UMBERTO,0,EAGLES DARE,19,-0.8364347630635386,23,-1.708922208246578,-3.730332753033809
SA ,20241229, 7, 1,0,,0,1760,2,N,3,YAKTEEN TIM,0,RISPOLI UMBERTO,0,SABERTOOTH,59,-0.40683585610071504,51,-1.8982117849395164,-3.1338967930065293
SA ,20241229, 7, 2,0,,0,1760,2,N,3,BALTAS RICHARD,0,KIMURA KAZUSHI,0,KING OF DRAGONS,37,-0.39205639129342995,63,-1.2523439829817047,-2.6643882167815858
SA ,20241229, 7, 3,0,,0,1760,2,N,3,HANSON RYAN,0,ESCOBEDO ADRIAN,0,FOMO JOE,24,-0.6658639813178385,19,-0.3908153712469379,-2.741489177221996
SA ,20241229, 7, 4,0,,0,1760,2,N,3,MILLER PETER,0,HERNANDEZ JUAN J,0,GAME WARRIOR,26,-0.5879457051134407,21,-2.1320866101493827,-3.4318173789706554
SA ,20241229, 7, 5,0,,0,1760,2,N,3,O'NEILL DOUG,0,BERRIOS HECTOR ISAAC,0,CANO FOR THE WIN,10,-0.7226466237971544,44,-1.9835906627969861,-3.34490061842247
SA ,20241229, 7, 6,0,,0,1760,2,N,3,MULLINS JEFF,0,PRAT FLAVIEN,0,ARTISLAS,2,-0.43129357053749673,9,-2.062101650024927,-4.359219399661283
SA ,20241229, 7, 7,0,,0,1760,2,N,3,O'NEILL DOUG,0,MALDONADO E,0,TIZ HAPPY,75,-0.6008553618071016,22,-2.7632022459563523,-3.236080006674919
SA ,20241229, 7, 8,0,,0,1760,2,N,3,MCCARTHY MICHAEL W,0,DETTORI LANFRANCO,0,PRECISION,55,-0.8339518416765037,55,-2.013953770541332,-3.6968241447959302
SA ,20241229, 8, 1,0,,0,1320,0,C,1,CASTANEDA KELLY,0,ORANTES WELFIN R,0,TEQUILA TALKIN,73,-0.7432871844683493,4,-0.6396331460541743,-2.7960478452064157
SA ,20241229, 8, 2,0,,0,1320,0,C,1,GARCIA ANTONIO C,0,GUTIERREZ MARIO,0,STAY ON THE FENCE,69,-0.8268262955689877,58,-1.5199205375519536,-3.4710740227531094
SA ,20241229, 8, 3,0,,0,1320,0,C,1,VALLEJO GENARO,0,FREY KYLE,0,GOSTOSO,28,-0.7675902850506797,36,-0.6209790980748361,-2.4348314954469332
SA ,20241229, 8, 4,0,,0,1320,0,C,1,KNAPP STEVE,0,PEREIRA TIAGO,0,DUTY FIRST,18,-0.8052148523023726,12,-2.673468557384035,-4.642456405121735
SA ,20241229, 8, 5,0,,0,1320,0,C,1,BRINKERHOFF VAL,0,LEZCANO ABEL,0,CAROL'S COMIC,11,-0.8250011014675128,45,-0.3685846151089335,-2.293239529790519
SA ,20241229, 8, 6,0,,0,1320,0,C,1,MOGER ED JR,0,GONZALEZ RICARDO,0,THALES,74,-0.8925516017068177,20,-1.1457584287313498,-2.539558867435841
SA ,20241229, 8, 7,0,,0,1320,0,C,1,MILLER PETER,0,CARMONA SERAFIN,0,MEGA MOON,43,-0.8006687642465025,31,-2.2867163016813135,-4.230311538955229
